,RMSE,MAPE
lightgbm,71182234.52147536,0.10772382175478346
catboost,77907070.9753227,0.11980396043861688
mlp,88022681.90921646,0.13950666515287843
xgboost,112176646.90922558,0.1845072740344362
ridge,114336012.09054323,0.1885737009776761
