,RMSE,MAPE
lightgbm,1057481.3829745033,0.1501672515075273
catboost,1191058.6014732772,0.16468854501178548
mlp,1449940.191321409,0.19195376145186138
xgboost,1862543.8383706121,0.21432423008711493
ridge,1969667.7706817887,0.22628220634602542
