,RMSE,MAPE
lightgbm,1053083.98045832,0.15075559272359895
catboost,1156486.6088661319,0.16361911526669165
xgboost,1792520.7614784224,0.2115302203450844
ridge,1840551.7402054577,0.2272202587918467
